cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV_x,PONAV,POAV_y
MOF_net-zfp_node1-N86_edge1-none,MOF_net-zfp_node1-N86_edge1-none.cif,5.0754,3.9283,5.07033,1.11345,534.781,480.29,0.1462,0.131303606,0.1217,0.0245,0.109299,0.0220036,0.109299,209.983,
MOF_net-zni_node1-N42_edge1-none,MOF_net-zni_node1-N42_edge1-none.cif,5.55572,3.99781,5.5544,2.70842,379.777,140.221,0.1097,0.040503319,0.1097,0.0,0.0405034,0.0,0.0405034,0.0,
MOF_net-zzz_node1-N12_node2-orgN8_edge1-none,MOF_net-zzz_node1-N12_node2-orgN8_edge1-none.cif,8.64112,7.68619,8.57017,2.13434,794.845,372.407,0.2824,0.132312565,0.2824,0.0,0.132312,0.0,0.132312,0.0,
MOF_net-zzz_node1-N15_node2-orgN8_edge1-none,MOF_net-zzz_node1-N15_node2-orgN8_edge1-none.cif,8.72212,7.75571,8.72212,2.01994,813.381,402.676,0.2843,0.140746755,0.2843,0.0,0.140747,0.0,0.140747,0.0,
MOF_net-zzz_node1-N16_node2-orgN9_edge1-none,MOF_net-zzz_node1-N16_node2-orgN9_edge1-none.cif,8.26628,6.63231,8.222,1.83569,837.006,455.962,0.2792,0.152095397,0.2792,0.0,0.152095,0.0,0.152095,0.0,
MOF_net-zzz_node1-N17_node2-orgN8_edge1-none,MOF_net-zzz_node1-N17_node2-orgN8_edge1-none.cif,8.84668,7.84885,8.84668,1.89571,823.18,434.233,0.2882,0.152027473,0.2882,0.0,0.152027,0.0,0.152027,0.0,
MOF_net-zzz_node1-N19_node2-orgN8_edge1-none,MOF_net-zzz_node1-N19_node2-orgN8_edge1-none.cif,5.13666,4.58801,5.13064,2.00767,241.616,120.346,0.1024,0.051004398,0.1024,0.0,0.0510043,0.0,0.0510043,0.0,
MOF_net-zzz_node1-N19_node2-orgN9_edge1-none,MOF_net-zzz_node1-N19_node2-orgN9_edge1-none.cif,4.98222,3.82107,4.97714,1.75436,64.2906,36.6462,0.0647,0.036879546,0.032,0.0327,0.0182403,0.0186393,0.0182403,71.6891,
MOF_net-zzz_node1-N44_node2-orgN22_edge1-none,MOF_net-zzz_node1-N44_node2-orgN22_edge1-none.cif,6.15914,4.06497,6.14817,1.94366,321.487,165.403,0.1153,0.059321075,0.1081,0.0072,0.0556168,0.00370436,0.0556168,32.0209,
MOF_net-zzz_node1-N44_node2-orgN3_edge1-none,MOF_net-zzz_node1-N44_node2-orgN3_edge1-none.cif,6.18284,4.0762,6.18055,1.92106,329.417,171.477,0.1135,0.059081965,0.1063,0.0072,0.0553339,0.00374792,0.0553339,32.1979,
