cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
MOF_net-fcu_node1-N2_edge1-none,MOF_net-fcu_node1-N2_edge1-none.cif,5.39334,2.27764,5.39334,2.53604,0.0,0.0,0.0972,0.038327471,0.0,0.0972,0.0,0.0383275,0.0,306.37
MOF_net-fcu_node1-N3_edge1-E10,MOF_net-fcu_node1-N3_edge1-E10.cif,6.07058,2.41544,6.07058,1.60674,0.0,0.0,0.1159,0.072133637,0.0,0.1159,0.0,0.0721338,0.0,767.458
MOF_net-fcu_node1-N3_edge1-E2,MOF_net-fcu_node1-N3_edge1-E2.cif,6.53699,2.49076,6.25742,1.562,0.0,0.0,0.1334,0.085403329,0.0,0.1334,0.0,0.0854033,0.0,901.844
MOF_net-fcu_node1-N3_edge1-none,MOF_net-fcu_node1-N3_edge1-none.cif,2.95433,1.1774,2.95433,2.43189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-fcu_node1-N72_edge1-E10,MOF_net-fcu_node1-N72_edge1-E10.cif,8.53495,3.61027,8.53495,1.29471,0.0,0.0,0.3135,0.242139166,0.0,0.3135,0.0,0.242139,0.0,3114.04
MOF_net-fcu_node1-N7_edge1-E3,MOF_net-fcu_node1-N7_edge1-E3.cif,10.94306,3.60902,10.93777,1.66351,0.0,0.0,0.3928,0.236127225,0.0,0.3928,0.0,0.236127,0.0,3424.79
MOF_net-fcu_node1-N8_edge1-none,MOF_net-fcu_node1-N8_edge1-none.cif,5.88019,2.55521,5.86569,2.9495,0.0,0.0,0.1514,0.051330734,0.0,0.1514,0.0,0.0513307,0.0,551.554
MOF_net-ftb_node1-N0_edge1-none,MOF_net-ftb_node1-N0_edge1-none.cif,4.102,3.54124,4.09003,1.39013,0.0,0.0,0.0138,0.009927129,0.0,0.0138,0.0,0.00992711,0.0,55.9281
MOF_net-ftw_node1-N72_node2-orgN1_edge1-none,MOF_net-ftw_node1-N72_node2-orgN1_edge1-none.cif,10.93661,2.32033,10.93661,1.14445,0.0,0.0,0.275,0.240290096,0.0,0.275,0.0,0.240291,0.0,1187.19
MOF_net-gar_node1-N18_node2-N43_edge1-none,MOF_net-gar_node1-N18_node2-N43_edge1-none.cif,5.75758,2.14529,5.58772,1.75626,0.0,0.0,0.0871,0.049594024,0.0,0.0871,0.0,0.0495942,0.0,2018.67
MOF_net-gar_node1-N74_node2-N47_edge1-none,MOF_net-gar_node1-N74_node2-N47_edge1-none.cif,6.07725,2.43222,6.07725,1.82581,0.0,0.0,0.0968,0.053017565,0.0,0.0968,0.0,0.0530176,0.0,2369.11
MOF_net-gar_node1-N78_node2-N43_edge1-none,MOF_net-gar_node1-N78_node2-N43_edge1-none.cif,5.73673,2.34504,5.37158,1.82062,0.0,0.0,0.0979,0.053772891,0.0,0.0979,0.0,0.053773,0.0,2216.44
MOF_net-gar_node1-N78_node2-N46_edge1-none,MOF_net-gar_node1-N78_node2-N46_edge1-none.cif,6.06126,3.10454,5.1851,1.70625,0.0,0.0,0.1203,0.070505495,0.0,0.1203,0.0,0.0705055,0.0,2912.4
MOF_net-gar_node1-N78_node2-N47_edge1-none,MOF_net-gar_node1-N78_node2-N47_edge1-none.cif,5.77033,2.3551,5.51262,1.79522,0.0,0.0,0.1009,0.056204811,0.0,0.1009,0.0,0.056205,0.0,2300.89
MOF_net-ghw_node1-N86_edge1-none,MOF_net-ghw_node1-N86_edge1-none.cif,2.80474,1.94199,2.62882,1.57355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-gis_node1-N4_edge1-none,MOF_net-gis_node1-N4_edge1-none.cif,4.95287,3.56016,4.38577,1.22111,0.0,0.0,0.0613,0.050200228,0.0,0.0613,0.0,0.0502002,0.0,835.34
MOF_net-hbo_node1-N4_edge1-none,MOF_net-hbo_node1-N4_edge1-none.cif,7.72522,3.10276,7.35206,1.25297,0.0,0.0,0.2024,0.16153619,0.0,0.2024,0.0,0.161536,0.0,4031.98
MOF_net-hcp_node1-N2_edge1-E7,MOF_net-hcp_node1-N2_edge1-E7.cif,8.04441,3.63406,7.94377,0.938312,0.0,0.0,0.3248,0.346153518,0.0,0.3248,0.0,0.346153,0.0,2820.28
MOF_net-hcp_node1-N72_edge1-E2,MOF_net-hcp_node1-N72_edge1-E2.cif,7.42672,3.7173,6.92262,1.37159,0.0,0.0,0.2374,0.173083793,0.0,0.2374,0.0,0.173083,0.0,1106.09
MOF_net-hcp_node1-N7_edge1-E10,MOF_net-hcp_node1-N7_edge1-E10.cif,6.19489,3.50881,6.19489,2.09678,0.0,0.0,0.1875,0.089422829,0.0,0.1875,0.0,0.0894226,0.0,755.512
MOF_net-hcp_node1-N8_edge1-E2,MOF_net-hcp_node1-N8_edge1-E2.cif,6.53779,3.53335,6.45905,1.74516,0.0,0.0,0.2849,0.163251507,0.0,0.2849,0.0,0.163252,0.0,1313.51
MOF_net-hcp_node1-N8_edge1-none,MOF_net-hcp_node1-N8_edge1-none.cif,3.87182,2.08861,3.70646,3.23329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hex_node1-N34_edge1-none,MOF_net-hex_node1-N34_edge1-none.cif,4.4287,3.04747,4.27284,1.54039,0.0,0.0,0.1977,0.128344121,0.0,0.1977,0.0,0.128344,0.0,153.055
MOF_net-hex_node1-N60_edge1-none,MOF_net-hex_node1-N60_edge1-none.cif,4.40241,3.04241,4.15538,1.57374,0.0,0.0,0.1925,0.122320078,0.0,0.1925,0.0,0.12232,0.0,147.285
MOF_net-hex_node1-N76_edge1-none,MOF_net-hex_node1-N76_edge1-none.cif,3.35768,2.15374,3.35768,1.63267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hjm_node1-N29_edge1-E10,MOF_net-hjm_node1-N29_edge1-E10.cif,4.47577,2.64433,4.25386,1.47025,0.0,0.0,0.0192,0.013059004,0.0,0.0192,0.0,0.013059,0.0,97.6987
MOF_net-hjm_node1-N29_edge1-none,MOF_net-hjm_node1-N29_edge1-none.cif,1.20335,0.6954,1.171,3.30451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hjm_node1-N42_edge1-E2,MOF_net-hjm_node1-N42_edge1-E2.cif,4.36477,2.88885,4.32358,1.68651,0.0,0.0,0.0261,0.015475746,0.0,0.0261,0.0,0.0154758,0.0,150.991
MOF_net-hjm_node1-N42_edge1-E3,MOF_net-hjm_node1-N42_edge1-E3.cif,4.72236,3.06069,4.20946,1.47043,0.0,0.0,0.0495,0.033663622,0.0,0.0495,0.0,0.0336636,0.0,276.51
MOF_net-hjm_node1-N4_edge1-E3,MOF_net-hjm_node1-N4_edge1-E3.cif,4.59072,1.97155,4.55849,1.59424,0.0,0.0,0.0357,0.022393115,0.0,0.0357,0.0,0.0223932,0.0,231.588
MOF_net-hjm_node1-N4_edge1-E5,MOF_net-hjm_node1-N4_edge1-E5.cif,6.56787,3.03165,6.04527,1.07621,0.0,0.0,0.2025,0.188160303,0.0,0.2025,0.0,0.188161,0.0,2196.2
MOF_net-hjm_node1-N74_edge1-E3,MOF_net-hjm_node1-N74_edge1-E3.cif,4.90961,3.53913,4.82425,1.28454,0.0,0.0,0.1787,0.139115948,0.0,0.1787,0.0,0.139116,0.0,1022.08
MOF_net-hjm_node1-N74_edge1-none,MOF_net-hjm_node1-N74_edge1-none.cif,2.14775,0.94063,1.83628,3.89976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-iac_node1-N10_node2-N19_edge1-none,MOF_net-iac_node1-N10_node2-N19_edge1-none.cif,5.87379,3.41101,5.87379,1.3502,0.0,0.0,0.1978,0.146496815,0.0,0.1978,0.0,0.146496,0.0,2980.8
MOF_net-iac_node1-N42_node2-N28_edge1-none,MOF_net-iac_node1-N42_node2-N28_edge1-none.cif,7.40224,3.56731,6.59315,1.6326,0.0,0.0,0.1236,0.07570746,0.0,0.1236,0.0,0.0757073,0.0,2337.67
MOF_net-iac_node1-N42_node2-N81_edge1-none,MOF_net-iac_node1-N42_node2-N81_edge1-none.cif,7.02047,3.71582,6.72033,1.87488,0.0,0.0,0.0715,0.038135774,0.0,0.0715,0.0,0.0381357,0.0,1257.19
MOF_net-ibd_node1-N18_node2-N19_edge1-none,MOF_net-ibd_node1-N18_node2-N19_edge1-none.cif,3.27875,1.89013,3.27875,2.21166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ibd_node1-N18_node2-N38_edge1-none,MOF_net-ibd_node1-N18_node2-N38_edge1-none.cif,4.6058,2.13476,4.6058,2.05059,0.0,0.0,0.02,0.009753291,0.0,0.02,0.0,0.00975327,0.0,230.223
MOF_net-ibd_node1-N29_node2-N61_edge1-none,MOF_net-ibd_node1-N29_node2-N61_edge1-none.cif,4.59335,2.52388,4.59335,1.82829,0.0,0.0,0.0265,0.014494418,0.0,0.0265,0.0,0.0144944,0.0,327.796
MOF_net-ibd_node1-N42_node2-N38_edge1-none,MOF_net-ibd_node1-N42_node2-N38_edge1-none.cif,3.92667,2.11806,3.91358,2.59923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ibd_node1-N42_node2-N61_edge1-none,MOF_net-ibd_node1-N42_node2-N61_edge1-none.cif,3.81594,2.09829,3.79467,2.50358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ibd_node1-N55_node2-N38_edge1-none,MOF_net-ibd_node1-N55_node2-N38_edge1-none.cif,4.47168,2.23837,4.39749,1.85925,0.0,0.0,0.0166,0.008928331,0.0,0.0166,0.0,0.00892835,0.0,192.079
MOF_net-ibd_node1-N55_node2-N49_edge1-none,MOF_net-ibd_node1-N55_node2-N49_edge1-none.cif,3.52363,1.89823,3.22997,1.84178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ibd_node1-N78_node2-N19_edge1-none,MOF_net-ibd_node1-N78_node2-N19_edge1-none.cif,3.61544,2.09375,3.23005,2.29593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ibd_node1-N78_node2-N38_edge1-none,MOF_net-ibd_node1-N78_node2-N38_edge1-none.cif,4.35669,2.25103,4.35619,2.11714,0.0,0.0,0.0153,0.00722673,0.0,0.0153,0.0,0.00722672,0.0,174.303
MOF_net-ict_node1-N42_edge1-none,MOF_net-ict_node1-N42_edge1-none.cif,3.06541,1.30237,2.1196,2.19111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ilc_node1-N22_edge1-none,MOF_net-ilc_node1-N22_edge1-none.cif,1.4844,1.05189,1.47766,2.94676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ilc_node1-N34_edge1-E2,MOF_net-ilc_node1-N34_edge1-E2.cif,5.35046,3.70841,5.35046,1.51399,0.0,0.0,0.2087,0.137847674,0.0,0.2087,0.0,0.137848,0.0,861.685
MOF_net-ilc_node1-N5_edge1-E2,MOF_net-ilc_node1-N5_edge1-E2.cif,4.64109,2.88094,4.64109,1.7441,0.0,0.0,0.122,0.069950118,0.0,0.122,0.0,0.0699501,0.0,397.144
MOF_net-ilc_node1-N5_edge1-E5,MOF_net-ilc_node1-N5_edge1-E5.cif,5.79499,3.64966,5.67795,1.05859,0.0,0.0,0.3224,0.30455606,0.0,0.3224,0.0,0.304556,0.0,1680.55
MOF_net-ilc_node1-N5_edge1-none,MOF_net-ilc_node1-N5_edge1-none.cif,1.62596,0.93798,1.62495,3.61001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ilc_node1-N60_edge1-E2,MOF_net-ilc_node1-N60_edge1-E2.cif,5.40743,3.64488,5.36762,1.53471,0.0,0.0,0.1808,0.117807273,0.0,0.1808,0.0,0.117807,0.0,740.495
MOF_net-ilc_node1-N60_edge1-none,MOF_net-ilc_node1-N60_edge1-none.cif,3.2607,2.44457,3.2607,2.8367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ilc_node1-N65_edge1-none,MOF_net-ilc_node1-N65_edge1-none.cif,1.82337,1.10782,1.82075,5.63862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ilc_node1-N76_edge1-E3,MOF_net-ilc_node1-N76_edge1-E3.cif,4.99183,2.42953,4.99183,1.1902,0.0,0.0,0.0967,0.081246849,0.0,0.0967,0.0,0.0812469,0.0,327.835
MOF_net-ilc_node1-N76_edge1-none,MOF_net-ilc_node1-N76_edge1-none.cif,2.75455,0.33501,2.75455,2.53709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ilc_node1-N84_edge1-E10,MOF_net-ilc_node1-N84_edge1-E10.cif,5.02076,3.23564,5.02076,1.59019,0.0,0.0,0.147,0.092441784,0.0,0.147,0.0,0.0924419,0.0,587.941
